-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2024 
Location: Latitude  9.6639   Longitude 80.0161 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2023,9,22,28.61,24.64,26.62,29.55,2.64,30.1,27.46,19.35,79.25,4.23
2023,9,23,28.78,25.12,26.95,29.62,2.74,30.45,27.71,19.9,80.81,1.39
2023,9,24,28.76,24.84,26.8,29.52,2.2,29.98,27.79,19.59,79.56,0.74
2023,9,25,28.88,24.61,26.74,29.55,2.27,30.07,27.8,19.35,78.0,4.84
2023,9,26,28.55,25.13,26.83,28.98,1.38,29.29,27.9,19.96,81.88,8.31
2023,9,27,28.73,24.91,26.82,29.12,2.05,29.83,27.77,19.71,80.06,7.57
2023,9,28,28.86,24.58,26.72,29.41,2.54,30.38,27.84,19.29,77.94,1.42
2023,9,29,28.85,24.61,26.73,29.3,2.33,30.23,27.9,19.29,77.94,2.85
2023,9,30,28.83,24.08,26.45,29.57,2.83,30.57,27.74,18.68,75.81,2.06
2023,10,1,28.48,24.57,26.53,29.32,2.69,30.08,27.4,19.29,79.56,1.78
2023,10,2,28.67,24.94,26.8,29.43,2.82,30.26,27.44,19.65,80.44,1.63
2023,10,3,28.82,24.33,26.57,29.55,3.0,30.71,27.7,18.98,76.94,0.15
2023,10,4,28.72,24.15,26.44,29.68,3.53,30.78,27.25,18.74,76.56,0.4
2023,10,5,28.61,24.76,26.69,29.49,2.43,30.15,27.72,19.47,79.88,2.84
2023,10,6,28.55,25.18,26.87,29.16,2.49,30.05,27.56,20.02,82.19,6.38
2023,10,7,28.62,25.3,26.97,29.26,2.72,30.22,27.5,20.14,82.44,3.67
2023,10,8,28.45,25.57,27.01,29.11,1.98,29.64,27.66,20.45,84.5,9.27
2023,10,9,28.42,25.38,26.9,29.35,2.31,29.75,27.44,20.2,83.75,5.16
2023,10,10,28.54,25.08,26.81,29.65,2.71,29.98,27.26,19.84,81.75,1.79
2023,10,11,28.67,24.69,26.68,29.56,3.02,30.41,27.38,19.41,79.38,3.74
2023,10,12,28.35,24.51,26.43,29.32,2.7,29.9,27.21,19.17,79.81,2.23
2023,10,13,28.39,24.64,26.51,29.55,2.67,29.93,27.26,19.29,80.31,15.15
2023,10,14,28.03,24.6,26.31,29.12,2.09,29.16,27.07,19.23,81.69,21.55
2023,10,15,28.26,24.18,26.22,29.33,3.0,29.86,26.86,18.8,78.75,17.25
2023,10,16,28.18,24.45,26.32,29.22,2.27,29.33,27.08,19.1,80.31,12.1
2023,10,17,27.8,24.86,26.33,28.62,1.01,28.26,27.25,19.53,83.94,8.3
2023,10,18,28.23,24.88,26.56,28.9,2.1,29.57,27.47,19.59,82.12,3.38
2023,10,19,28.4,24.17,26.29,29.28,2.52,29.64,27.12,18.74,78.0,4.52
2023,10,20,28.33,22.96,25.65,29.23,2.37,29.51,27.14,17.4,72.75,4.41
2023,10,21,28.64,22.08,25.36,29.64,2.86,30.15,27.29,16.54,67.88,2.12
2023,10,22,27.76,23.69,25.73,28.9,1.09,28.4,27.31,18.19,78.5,4.39
2023,10,23,28.07,23.29,25.68,29.49,3.12,29.71,26.58,17.82,75.69,2.34
2023,10,24,28.34,23.89,26.12,29.9,2.66,29.58,26.93,18.43,77.06,4.4
2023,10,25,28.19,23.96,26.07,29.74,2.05,29.15,27.1,18.49,77.94,9.44
2023,10,26,28.5,23.52,26.01,29.67,2.93,30.19,27.26,18.01,74.62,0.26
2023,10,27,28.44,23.88,26.16,29.9,2.82,29.85,27.03,18.43,76.5,0.62
2023,10,28,28.48,24.17,26.33,29.87,2.72,29.9,27.18,18.74,77.62,2.16
2023,10,29,27.6,24.23,25.91,28.98,1.86,28.54,26.68,18.86,81.88,10.04
2023,10,30,27.89,24.25,26.07,29.26,2.8,29.37,26.57,18.86,80.75,12.09
2023,10,31,28.63,24.55,26.59,29.44,2.77,30.15,27.38,19.23,78.75,2.83
2023,11,1,28.66,24.4,26.53,29.37,2.57,30.04,27.46,19.04,77.88,9.33
2023,11,2,27.84,24.58,26.22,29.05,1.48,28.65,27.16,19.23,82.44,8.0
2023,11,3,28.16,24.07,26.12,29.37,3.13,29.83,26.7,18.68,78.75,21.18
2023,11,4,27.75,24.49,26.12,29.02,2.18,28.91,26.73,19.17,82.5,38.16
2023,11,5,27.59,23.5,25.55,29.25,2.09,28.54,26.45,18.01,78.5,15.61
2023,11,6,27.76,24.29,26.02,29.07,1.84,28.68,26.83,18.86,81.44,13.29
2023,11,7,27.42,24.59,26.01,28.86,1.74,28.15,26.41,19.23,84.5,24.63
2023,11,8,27.62,24.65,26.13,28.83,1.45,28.34,26.9,19.29,83.88,23.28
2023,11,9,27.7,23.87,25.79,29.12,2.11,28.72,26.62,18.43,79.69,8.79
2023,11,10,27.83,24.72,26.28,28.98,1.94,28.87,26.94,19.35,83.19,8.06
2023,11,11,28.47,25.63,27.05,28.83,1.82,29.25,27.43,20.45,84.56,18.61
2023,11,12,28.45,24.91,26.69,28.55,1.19,29.15,27.96,19.59,81.06,17.61
2023,11,13,27.85,24.9,26.37,28.26,1.56,28.53,26.97,19.59,83.94,18.15
2023,11,14,27.3,24.99,26.15,28.16,1.02,27.65,26.63,19.71,87.12,50.35
2023,11,15,27.52,25.18,26.35,28.25,1.25,28.23,26.98,19.96,87.0,19.95
2023,11,16,27.81,25.28,26.55,28.56,1.89,28.78,26.88,20.08,86.06,10.05
2023,11,17,27.91,25.61,26.76,28.26,1.04,28.46,27.42,20.45,87.19,8.3
2023,11,18,27.94,25.79,26.87,28.35,1.17,28.58,27.41,20.69,88.0,13.56
2023,11,19,27.81,24.65,26.23,28.1,1.63,28.63,27.0,19.35,83.06,28.25
2023,11,20,27.6,23.8,25.7,28.41,1.89,28.58,26.69,18.37,79.88,4.78
2023,11,21,27.71,24.63,26.17,28.3,2.12,28.68,26.55,19.29,83.38,3.03
2023,11,22,27.08,24.94,26.01,27.76,1.19,27.54,26.35,19.65,88.0,18.89
2023,11,23,27.58,23.44,25.51,28.62,2.98,29.11,26.13,17.94,78.38,1.64
2023,11,24,27.69,24.62,26.15,28.52,1.86,28.62,26.76,19.29,83.44,1.79
2023,11,25,27.9,25.32,26.62,28.35,1.97,28.82,26.84,20.14,85.81,7.79
2023,11,26,28.25,25.35,26.8,28.48,1.74,29.33,27.58,20.14,84.31,6.84
2023,11,27,28.4,24.98,26.69,28.37,2.16,29.63,27.47,19.71,81.75,3.84
2023,11,28,28.01,25.0,26.51,28.29,1.83,29.02,27.2,19.78,83.62,4.15
2023,11,29,27.23,24.8,26.02,28.04,0.91,27.74,26.83,19.53,86.5,10.1
2023,11,30,27.02,24.96,25.99,27.77,1.17,27.58,26.4,19.71,88.38,23.65
2023,12,1,27.12,25.27,26.2,27.6,1.32,27.72,26.4,20.08,89.5,26.41
2023,12,2,27.69,25.47,26.58,27.99,1.13,28.26,27.13,20.39,87.69,10.04
2023,12,3,27.69,24.92,26.31,28.05,2.3,28.9,26.59,19.71,84.88,6.58
2023,12,4,27.82,26.28,27.05,27.79,0.84,28.23,27.39,21.42,91.38,77.9
2023,12,5,28.11,26.24,27.18,27.83,1.29,28.87,27.58,21.36,89.62,8.5
2023,12,6,28.07,25.93,27.0,27.86,1.44,28.83,27.4,20.94,88.19,6.32
2023,12,7,28.23,24.96,26.59,28.6,2.22,29.22,27.0,19.65,82.44,3.5
2023,12,8,27.92,25.35,26.64,28.46,1.46,28.62,27.16,20.14,85.88,7.94
2023,12,9,27.62,25.12,26.37,28.54,1.67,28.51,26.84,19.9,86.25,4.74
2023,12,10,27.8,25.14,26.47,28.31,2.09,28.85,26.76,19.9,85.38,5.95
2023,12,11,27.83,24.62,26.23,28.17,1.34,28.58,27.23,19.29,82.56,2.1
2023,12,12,27.61,23.94,25.78,28.15,2.09,28.74,26.66,18.49,80.19,0.51
2023,12,13,27.26,23.38,25.32,27.77,2.15,28.37,26.23,17.82,79.12,0.08
2023,12,14,27.35,24.29,25.82,27.69,1.49,28.16,26.67,18.86,83.25,4.62
2023,12,15,27.48,24.9,26.19,27.99,1.3,28.2,26.89,19.59,85.69,4.81
2023,12,16,27.53,25.51,26.52,27.74,1.4,28.28,26.88,20.39,88.81,19.52
2023,12,17,27.39,25.58,26.48,27.54,1.21,28.1,26.89,20.45,89.94,26.07
2023,12,18,27.03,24.88,25.95,27.22,1.11,27.62,26.51,19.59,88.06,32.4
2023,12,19,27.15,24.84,25.99,27.39,1.73,28.18,26.45,19.53,87.19,14.4
2023,12,20,27.28,25.06,26.17,27.41,1.67,28.29,26.62,19.78,87.75,8.89
2023,12,21,27.44,24.99,26.21,27.43,1.95,28.56,26.61,19.71,86.56,4.85
2023,12,22,27.11,24.01,25.56,27.18,1.77,28.19,26.41,18.49,83.06,1.91
2023,12,23,26.94,23.58,25.26,27.09,2.1,28.12,26.01,18.01,81.69,1.51
2023,12,24,26.85,24.75,25.8,27.11,1.69,27.88,26.19,19.41,88.25,9.91
2023,12,25,26.97,24.38,25.67,27.04,2.26,28.26,26.01,18.98,85.75,2.22
2023,12,26,26.83,23.08,24.96,26.72,2.07,27.94,25.87,17.46,79.88,1.07
2023,12,27,27.01,24.49,25.76,27.08,1.9,27.99,26.09,19.1,86.06,4.53
2023,12,28,27.31,25.15,26.23,27.3,1.86,28.43,26.57,19.9,88.06,5.88
2023,12,29,27.3,24.96,26.13,27.28,1.77,28.41,26.65,19.65,87.06,6.06
2023,12,30,27.03,23.96,25.5,27.05,1.84,28.12,26.27,18.49,83.19,0.79
2023,12,31,26.78,23.33,25.05,27.03,2.04,27.88,25.84,17.76,81.19,0.61
2024,1,1,26.76,23.08,24.92,27.02,1.84,27.8,25.97,17.46,80.0,0.61
